Authors,Title,Year,Abstract,Keywords
Hoe S.L.,Thinking about how to think: cognitive skills to stay relevant in a digital economy,2017,"Purpose: The purpose of this paper is to propose a holistic set of thinking or cognitive skills for professionals, managers, and executives to stay relevant in a digital economy. Design/methodology/approach: The viewpoint is based on more than 20 years of experience gained working with multinational companies and public sector organizations across various industries in Asia. Findings: To stay relevant in a digital economy, there is a need to develop a holistic set of cognitive skills such as design thinking, process thinking, systems thinking, futures thinking, and creative thinking that complements technical and people skills. Research limitations/implications: The paper provides senior human resources practitioners with suggestions on a holistic set of thinking skills that complements technical and people skills to help manage organizational capabilities and develop talents to stay relevant in a digital economy. Practical implications: The paper provides senior human resources practitioners with suggestions on a holistic set of thinking skills that complements technical and people skills to help manage organizational capabilities and develop talents to stay relevant in a digital economy. Originality/value: This paper contributes to the existing literature on human resource development by providing insights on a holistic set of thinking skills that are needed in a digital economy. © 2017, © Emerald Publishing Limited.",Capabilities management; Human resource development; Talent development; Thinking skills; Training
"Pînzaru F., Anghel L., Mihalcea A.",Sustainable management in the new economy: Are Romanian companies ready for the digital challenge?,2017,"In the context of the new economy, organizations are forced to learn and to reinvent themselves in order to become more competitive. Don Tapscott (2015, p.17) states that the new economy is characterized by the use of exclusively digital information and it represents ""a knowledge economy based on the application of human know-how to everything we produce and how we produce it”. Thus, new economy means the digitalization of companies on a structural level: human resources management, R&D, marketing, IT security, e-management and e-business integrative models. This implies a new shift in the organizational design, rethinking of operational processes, m-marketing strategies, digital competencies, analytical and mobile technologies. Florina Pînzaru (2016, p.27) indicates that „we must acknowledge that we are now at the crossroads and that managers should think of the mutations that we start to face as the world rushes to become digitally interconnected”. Our research is based upon the following fundamental question: the Romanian business environment is ready for this type of digital maturity and what are the main challenges that it faces at this point? In order to answer these questions, we used a double approach: on the one hand, we used content analysis based upon the articles from Romanian business newspapers (Capital, Financial Magazine, BIZ Magazine); on the other hand, a qualitative approach, through the interviews with various managers in order to see if the Romanian business environment is ready for this type of digital maturity and what are the main challenges that is facing at this point. Despite this positive trends, we noticed major disruption between industries concerning investments in IT & research and development. When it comes to embracing new business models focused on driving innovation through sharing knowledge and information, multinationals from Romania follow the global strategy, whereas Romanian companies lack collaboration with local hubs or platforms for developing new ideas and products. Copyright The Authors, 2017. All Rights Reserved.",Digital HR; Digital marketing; Digitization; E-management; New economy; Romania; Sharing economy
"Kamaletdinov A.S., Litvinov A.N., Danilina M.V., Kirpicheva M.A., Delia V.P., Ivanova N.V., Surkova E.V., Sorokina A.V.",Management of companies in the digital economy,2017,"With the use of digital technologies, everyday human life, production relations, economic structure and education change, and new requirements arise for communications, computing power, information systems and services. The article analyzes the opportunities for companies to function in a new reality in the digitaleconomy. © Serials Publication Pvt. Ltd.",Business; Company; Digital economy; Management; Russia
"Degen M., Melhuish C., Rose G.","Producing place atmospheres digitally: Architecture, digital visualisation practices and the experience economy",2017,"Computer-generated images have become the common means for architects and developers to visualise and market future urban developments. This article examines within the context of the experience economy how these digital images aim to evoke and manipulate specific place atmospheres to emphasise the experiential qualities of new buildings and urban environments. In particular, we argue that computer-generated images are far from 'just' glossy representations but are a new form of visualising the urban that captures and markets particular embodied sensations. Drawing on a 2-year qualitative study of architects' practices that worked on the Msheireb project, a large-scale redevelopment project in Doha (Qatar), we examine how digital visualisation technology enables the virtual engineering of sensory experiences using a wide range of graphic effects. We show how these computer-generated images are laboriously materialised in order to depict and present specific sensory, embodied regimes and affective experiences to appeal to clients and consumers. Such development has two key implications. First, we demonstrate the importance of digital technologies in framing the 'expressive infrastructure' of the experience economy. Second, we argue that although the Msheireb computer-generated images open up a field of negotiation between producers and the Qatari client, and work quite hard at being culturally specific, they ultimately draw 'on a Westnocentric literary and sensory palette' that highlights the continuing influence of colonial sensibilities in supposedly postcolonial urban processes. © The Author(s) 2015.",Architecture; Atmosphere; Computer-generated image; Digital visualisation; Doha; Experience economy; Qatar; Senses
[No author name available],"2nd International Conference on Digital Economy, ICDEc 2017",2017,"The proceedings contain 18 papers. The special focus in this conference is on Digital Economy. The topics include: Impact of his/her credibility and congruence with the endorsed product, on the consumer’s information adoption and dissemination; intention of adoption of mobile commerce from consumer perspective; exploratory study of reasons, emotions and practices of the value co-destruction in virtual communities; capturing leading factors contributing to consumer engagement in online packaging co design platform; knowledge transfer through e-learning; modeling of a collaborative learning process with business process model notation; intermediation and decision support system for the management of unemployment; online project management and PHP7 application; data stream mining based-outlier prediction for cloud computing; overlapping community detection method for social networks; new overlap measure for the validation of non-disjoint partitioning; uniformly spread embedding based steganography; first steps towards an electronic meta-journal platform based on crowdsourcing; skyline operator over tripadvisor reviews within the belief functions framework; an adaptive approach of label aggregation using a belief function framework and assessing items reliability for collaborative filtering within the belief function framework.",
Farmer K.,"Robots, human capital, welfare and unemployment in a digital world economy",2017,"Intelligent machines (robots) might have vastly destructive consequences for future human welfare and employment. Following Frey and Osborn (2013), popular media predict that during the next 10 to 20 years 50% and more of contemporary human jobs will be replaced by robots. Thus, it is natural to ask the question whether investments in human capital can ameliorate the threatening loss of jobs involving even middle- and high-skilled tasks. Policy advisors mainly recommend public expenditures in order to foster digital competences among population. However, there might also be an avenue for more traditional human capital investments by individuals and governments. Capital investments in a broader range of human activities than only digital competences might namely ameliorate the rivalry between traditional and digital production in Sachs et al.'s (2015) overlapping generations (OLG) model. The model focuses on an economy in which final goods are produced by machines without human labor (robots) and by human labor and traditional capital. One key finding is ""that an increase in robotic productivity will temporarily raise output, but, by lowering the demand for labor, can lower wages and consumption in the long run. In what we term a paradox of robotic productivity (italics in original), innovations that increase the productivity of robotic investment can, after a generation, lower robotic and total output, and lower the well-being (lifetime utility) of all future generations."" (Sachs et al. 2015, p. 1) Young households in the OLG economy of Sachs et al. (2015) invest their savings either in robots or traditional capital but nobody invests in human capital. Thus, it remains as the first open question whether Sachs' et al. (2015) negative long run welfare consequences of digitalization also arise when the government as an agent of young households invests in human capital with the aim to counteract the decrease in labor productivity resulting from the substitution of robots for traditional capital. Second. Sachs et al. (2015) assume full employment while many fear unemployment as a consequence of more productive robots. Thus, the second question is whether robots raise or diminish existing unemployment. The proposed chapter answers both questions by extending the OLG model of Sachs et al. (2015) through human capital accumulation in line with Glomm and Ravikumar (1992) and involuntary unemployment in accordance with Magnani (2015). It will be shown which basic model parameters are conducive for beneficial or immiserizing technological change and whether more productive robots will raise or decrease involuntary unemployment. © 2018 Nova Science Publishers, Inc.",Digital OLG model; Human capital; Involuntary unemployment; Robots; Welfare
"Dementiev V., Evsukov S., Ustyuzhanin V., Ustyuzhanina E.",Impact of digital economy on the transformation of models of business activity organization within corporations,2017,"This paper aims to investigate the impact of information and communication technologies on methods of organization of business interaction. The research methodology is based on the -new institutional theory. Contrary to the common perception that the market and major companies give way to network interaction forms, we maintain that methods of organization of business interaction are growing in variety, particularly in terms of enlargement of federated structures based on possessory control. Our analysis of the available models of business activity organization showed that attenuated information asymmetry makes the management of large corporations apply tougher methods to control their divisions. The present article highlights three types of principal-agent problems in intercorporate relations: blatant opportunism, mild opportunism and inefficient performance. We point out that lifting information access barriers will counteract predominantly the first two of the above-mentioned types, resulting from the fact that low performance is based not only on information asymmetry, but also on the weakening of incentives, which is typical of collective forms of business activity organization. We argue that centralization, bureaucratization and total control inherent in tough management methods undermine even more the motivation of employees and, consequently, exacerbate the issue of missed opportunities. © 2017. revistaESPACIOS.com.",Corporate control; Corporations; Digital economy; Disruptive selection; Incentives; Information and communication technologies; Information asymmetry; Opportunistic behavior
"Varshavskaya V.V., Tikhonova M.V., Komarov A.G., Tishkov P.I.",The issues of engineering economic education for digital economy,2017,"The paper discusses modern approaches to the economic support of design and engineering solutions for industry from two angles: improvement of the economic competence of engineering cadres when they get higher education and target training of engineering economists for the industries of the IV technological paradigm. The experience in training engineering economists is analyzed by sectors, as well as the experience in teaching economic subjects in technical universities, which allow for evaluating the economic component of engineering solutions. Suggestions are made about developing the applied aspects of economic subjects which make it possible to optimize design and engineering solutions and minimize production costs. © 2017 IEEE.",Design and engineering solutions; Digital technology; Engineering economic education; Engineering economy; Feasibility study; Information technology; Personnel training
"Zenina G., Gunina I., Narolina T., Pahomova Y., Dudareva O.",Development of human capital in the context of digital transformation,2017,"The system of education penetrates into all society structures, relates to each economy sector and any sphere of human activity, which means that the trends of the development in the strategic programs of socio-economic development of the region can be proposed only from the perspective of taking into account direct and spillover effects of education system impact on the society. The article examines strategies for assessment of changes influence in professional and higher education over processes of social and economic development of the region; the model of educational institute development on the basis of principles of digital economy is proposed. The current state of professional and higher education in Voronezh Oblast is considered. © 2017 International Business Information Management Association IBIMA. All Rights Reserved.",Digital economy; Economy digitalization; Industry 4.0; University 4.0
"Burkaltseva D.D., Boychenko O.V., Sivash O.S., Mazur N.M., Zotova S.A., Novikov A.V.","The construction of the digital organizational, social and economic production mechanism in the agro-industry",2017,"The article represents the construction of the digital organizational, social and economic production mechanism in the agro-industry. The following main conclusions were obtained based on the exposition of the article materials: The development and reformation of the organizational, social and economic mechanism can have a positive impact on the development of agriculture. The definition of “digital organizational, social and economic production mechanism” is given. The article proposes a functional target scheme for the construction of the digital organizational, social and economic mechanism to produce agro-industrial products. This functional target scheme is a set of institutional approach elements in the market economy aimed at institutional provision of relatively favorable business conditions for all participants in the digital economy of the agro-industrial products output.",Activation program; Agricultural sector; Digital economy; Economic mechanism; Indicators of the investment process; Institutionalization; Investment process; Investment resources; Organizational; Security; Social
"Polyanin A., Golovina T., Avdeeva I., Dokukina I., Vertakova Y.",Digital strategy of telecommunications development: Concept and implementation phases,2017,"Prime objective of Russia modern information society development in the conditions of digital economy establishment is mainstreaming of information and communication technologies, particularly massive adoption of technologies BigData. This information society development objective determines priorities in modern information technologies application in the Russian Federation. Particularly this problem is vital for telecommunication branch, where it is necessary to develop and implement digital development strategy. Foreign countries that already financing digital technologies obtain essential advantages and possess competitive advantages in the world market that is significant in the globalization conditions. Formation of principally new digital strategy of communication development will present new digital platform on practical realization of digital solutions in this sphere and provide increase of competitive performance of all economy branches absolutely and improving population life quality. The necessity of development of scientific-methodological approaches to the definition of digital strategy concept in the sphere of telecommunications is provided with integrative and globalizational processes, which dictate the necessity to search modern methods, tools and technologies of innovations promotion. © 2017 International Business Information Management Association IBIMA. All Rights Reserved.",Development strategy; Digital economy; Technologies BigData; Telecommunications
"Trostinskaia I.R., Safonova A.S., Pokrovskaia N.N.",Professionalization of education within the digital ecnomy and communicative competencies,2017,"The digital economy era raises new challenges for the professional competencies of collaborating persons for effective communication within organizational processes and across organizational borders. Effective communications in the context of total digitalization represent a significant factor for the competitiveness of individuals and businesses. These competences are to be formed within the higher education system. Today, the demand for professionalizing of education reflects the rapidly changing context of the real economic environment, the transformation uses the diverse tools such as involvement of professional partners in the learning process, flexible adaptation of educational technologies and content to the requirements of potential employers, to the conditions of the new economy. The article presents the multi-faceted experience of the Department of Advertising and Public Relations of the Polytechnic University in involving the professional community into education of future communication' specialists within the framework of training and practice, both in content and in performing applied tasks. © 2017 IEEE.",communicative competence; digital economy; knowledge economy; professionalization of education
"Karapetyants I., Kostuhin Y., Tolstykh T., Shkarupeta E., Krasnikova A.",Establishment of research competencies in The context of Russian digitalization,2017,"The configuration of global markets undergoes substantial changes as affected by digitization. Many traditional industries become less significant in the global economy structure alongside the rapid growth of new sectors, generating fundamentally new needs. The determinant role in the ongoing transformation is acquired by research and invention, which requires creation of system of research and invention management in digital economy field enabling coordination of efforts of interested parties - representatives of the Federal Agencies of Executive Authority, companies, higher educational establishments and scientific organizations. Intensive development of digital economy society inevitably involves tasks in knowledge management field. The priority sources are information and knowledge acquired from the knowledge-based experience. And, competencies, being a competitive position on the market, are innovativeness, expert knowledge, creativeness, cognition. Therefore, transition from physical to digital economy requires fundamentally new approaches not only in industries and factories, but also in formation of human resources for digital economy: education, staff training, establishment and innovative human capital management. In the paper we considered approaches, tools and mechanisms of formation of key conditions for digital economy staff training and perfection of the educational system which must provide digital economy with the competitive work force. The crucial point of the approach must be formation of the support system of exploratory and applied research in digital economy (research infrastructure of digital platforms), providing technological independence of every direction of transparent digital technologies which are competitive on a global basis. © 2017 International Business Information Management Association IBIMA. All Rights Reserved.",Competencies; Competency-based approach.; Digital economy; Digital transformation; Digitalization
Naughton J.,"Digital economy, upstream suppliers and freedom of expression: Regulating digital giants: An unsolved - insoluble? - problem",2017,"In the four decades of its existence, the internet has followed the life-cycle of earlier communications technologies in evolving from being open, generative and anarchic (or at any rate unregulated) to a network that has been largely captured by corporate interests. We are currently at the point where a small number of global corporations dominate most of the daily activity on the network. The affordances of digital technology and the unique characteristics of these corporations pose unprecedented challenges for antitrust and other regulatory concepts that were shaped in a pre-digital age. If society is to be able to control and regulate these corporations then new conceptualisations of corporate power and regulation are required.",
Burnside A.,Digital economy and consumer welfare: Bob Dylan and consumer welfare,2017,"While the Oxford English Dictionary defines ""welfare"" as ""The health, happiness, and fortunes of a person or group"", it is not that simple to define the consumer welfare in the internet context. Gradual changes introduced by platforms with significant market power are able to distort the idea of consumer welfare in digital markets. Furthermore, it is necessary to analyse the online platform's role in efficiency gains, notably in the online hotel sector.",
"Ustyuzhanina E.V., Sigarev A.V., Komarova I.P., Novikova E.S.",The impact of the digital revolution on the paradigm shift in the economic development,2017,"The purpose of this paper is to validate the hypothesis that the shift to the digital economy is not another change of a technological trend (via, say, the 4th industrial revolution) but a change in the paradigm of the economic development that entails changes in the nature of labor division, the way of interaction among business entities, and the basis of economic power. Methods. A combination of the historical, evolutionary, and institutional methods of research has been used. Conclusion and significance. The transformation of the paradigm of economic development is characterized by changes in the nature of labor division, the dominant way of interaction among business entities, and the basis of economic power. Changes in the nature of labor division imply intellectual and organizational centers getting separated from production and service departments. Changes in the dominant way of interaction among business entities imply the gradual displacement of the free market as the leading way of interfirm interaction by value networks. Property ownership, in a classical sense, is ceasing to be the main foundation of economic power, its place being increasingly taken over by a status in the hierarchy of the field of interaction that enables one to establish the rules for interaction and distribute added value.",Digital economy; Digital revolution; Economic power; Labor division; Paradigm of economic development
"Matar L., Aoun G.",The challenges and opportunities of the sharing economy: The case of a developing economy,2017,"Globalization, new technology and the standardization of the way of thinking in developed, emerging and developing countries give the sharing economy a huge opportunity all over the world. The economy of sharing is spreading in all domains and activities. Many economic sectors are facing challenges and competition from a new business model and new ideas based on digital platforms and spreading rapidly across all societies. The volume of this economy is increasing yearly and the defenders of the sharing praise the benefits of this phenomenon. The debate is open about the reality and the consequences of an economy evaluated to several billions of dollars and will be able to disrupt the life of millions of persons globally. In our paper, we analyze the sharing today and tomorrow, the benefits and the challenges of this economy. We explore the human implications, the assumption of sharing on the job market and on the nature of work today and in the near future. Our methodology is based on a literature review of the subject and on an analysis, using three conceptual models considered the most appropriate regarding the sharing economy: The Diffusion of Innovation Theory (DOI, Rogers), the Creative destruction (Schumpeter) and the Social exchange theory (Homans and Blau). We conduct a survey on university students in order to identify, analyze and study their motivations concerning the sharing. © 2017 International Business Information Management Association, IBIMA. All rights reserved.",Digital Platform; Globalization; New Technology; Sharing Economy
"Brusakova I.A., Chertovskoy V.D.",About interaction of higher education institutions and productions,2017,It is showed that one of the effective directions of a solution of the problem of digital economy is creation and implementation of the adaptive automated manufacturing control systems. Need of interaction of higher education institutions and productions in case of application-oriented application is marked. © 2017 IEEE.,adaptation; automatized system; higher education institution; interaction; manufacturing
"Khrestina M.P., Dorofeev D.I., Kachurina P.A., Usubaliev T.R., Dobrotvorskiy A.S.","Development of algorithms for searching, analyzing and detecting fraudulent activities in the financial sphere",2017,"According to Digital Evolution Index 2017, Russia is included to the category of so-called “Break Out” countries. The major problem to be encountered at transfer to the digital economy is adaptation of new technologies – such as Big Data, Blockchain, Internet of Things, Cryptocurrency, machine learning. No less important field is development of friendly informative environment facilitating international cooperation, cyber safety problems resolving, etc. This example provides the data of the report prototype of a system to detect suspicious transactions. This system shall read and analyze the transaction database and, in accordance with search algorithms, it detects suspicious transactions within the entire data base. The algorithm consists of several stages: development of a graph, selection of suspicious and trusted transactions, calculation of signs and machine learning. The methods of social connections analysis, parallel processing of graphs and mathematical apparatus of neural networks are used as the basis of this research.",AML-systems; Antifraud; Big data; Digital economy; Digital transformation; Financial control; Machine learning; Neural networks; Parallel processing
"Sebastian I.M., Moloney K.G., Ross J.W., Fonstad N.O., Beath C., Mocker M.",How big old companies navigate digital transformation,2017,New digital technologies present both game-changing opportunities for-and existential threats to-companies whose success was built in the pre-digital economy. This article describes our findings from a study of 25 companies that were embarking on digital transformation journeys. We identified two digital strategies-customer engagement and digitized solutions-that provide direction for a digital transformation. Two technology-enabled assets are essential for executing those strategies: an operational backbone and a digital services platform. We describe how a big old company can combine these elements to navigate its digital transformation. © 2017 University of Minnesota.,
"Selvakumar D.S., Sharma A.K.",A studyon market without cash — conventional to digital,2017,"India continues to be driven by the use of cash.A plan to encourage electronic payments and to enable India to move towards a cashless society or economy in the medium and long term.The shift from any conventional method to modern method in the society takes time but when the move is for welfare and enhancement of the public and government there won’t be much hesitation for the change the idea of making India a cashless society, with the aim of curbing the flow of black money. This paper focuses the challenges and the possible outcome of the paradigm shift in payment mode from conventional to digital. © Serials Publications Pvt. Ltd.",Cash payments; Cashless economy; Conventional payments; Digital payment; Traditional payment
"Tolstykh T., Vertakova Y., Shkarupeta E., Shishkin I., Krivyakin K.",Assessment of the impact of higher education development on the social and economic processes in the region,2017,"The article discusses some approaches to assessing the impact of changes taking place in the system of higher education on the social and economic processes of the regional development, to classifying direct and spillover effects in the framework of creating the programs of the strategic development of the region. A model of higher education development taking into account the spillover effects implementing the principles of the digital economy is proposed. A task to analyze the cross-impact of various factors as well as their impact on the basic economic growth factors in the region is set in order to assess the impact of changes taking place in the development of higher education on the processes of social and economic development in the region.",Digital economy; Entrepreneurship; Higher education; Spillover effects; Spin-off
"Bruskin S.N., Brezhneva A.N., Dyakonova L.P., Kitova O.V., Savinova V.M., Danko T.P., Sekerin V.D.",Business performance management models based on the digital corporation's paradigm,2017,"Digital development of the global economy has increasingly severe implications for business, society and State. The so-called digital transformation (DX) has already turned from a scientific paradigm to reality, adjusting the development strategies of entire states, changing the face of social infrastructure and reformatting business processes. The market participants now face serious challenges: how to build their own business model and how to find their place in the digital ecosystem of the nearest future, drawing on digital technologies. That is precisely why the research and approbation of approaches to building an information model of a digital corporation are not only topical, but also very timely. The article provides an overview of several important studies in the field of DX, along with a comparative analysis of classical and digital models of corporate governance; it also shows the potential for the development of the CPM concept (Corporate performance management) considering the DX requirements and the advantages of the evolutionary planning approach. The authors present the paradigm of building information and analytical systems for digital corporation management with the use of advanced business intelligence based on dynamic intellectual models. The article describes examples of real projects on the development of support systems for decision-making in terms of marketing and financial management, including business effects from the use of similar systems. The authors have summarized project experience in the field of building a digital system of corporate management based on the Academic Competence Center of IBM ""Reasonable Commerce"" (located in Plekhanov Russian University of Economics) and outlined the prospects for further research.",Advanced business analytics; Digital ecosystem; Digital performance management; Digital transformation (DX)
"Massimino B., Gray J.V., Boyer K.K.",The Effects of Agglomeration and National Property Rights on Digital Confidentiality Performance,2017,"In recent years, instances of organizations failing to maintain digital confidentiality performance have greatly increased in frequency and monetary damage. While the global sourcing of activities in the development of digital assets is widespread, very little is known about how location-related factors may affect confidentiality outcomes. Addressing this, we empirically investigate two factors with rich theoretical bases and logical linkages to confidentiality: industrial agglomeration and national property rights protections. We conduct a large-scale, empirical study at the product level of analysis, and treat the confidentiality of a digital product as a performance outcome that is affected by the locations of the two key organizational entities involved in the product's development. We leverage modern, web-crawling methods to harvest secondary data from a major, illicit distribution channel for these products and combine these data with other secondary data involving legitimate commerce to derive a secondary measure of confidentiality performance. We find robust results, and demonstrate practical significance of our findings through scenario analyses based on actual data from our sample. © 2016 Production and Operations Management Society",clusters; digital economy; global sourcing; intellectual property; new product development; video game industry
"Urbančíková N., Manakova N., Bielcheva G.",Socio-economic and regional factors of digital literacy related to prosperity,2017,"Purpose: to study social, economic, demographic, regional factors of digital literacy as a basis of digital prosperity. Methodology/Approach: Three research questions are studied, using regression models for cross-sectional data - Pooling model, Random effects model and Fixed-effects model and the Item Cluster Analysis method. Findings: Age, education, income and household type are the most significant factors of digital literacy, giving rise to the societal digital divide in Slovakia. Less important factors are the city size and the sector of the economy, but only weak is the influence of region, gender and nationality. Research Limitation/implication: Only the contingency tables of the longitudinal surveys were available, so the microanalysis was not possible. Category: Research paper. © 2017 by the authors.",Digital literacy; Digital prosperity; ICT revolution; Regional disparities; Vulnerable groups
"Plaksin S., Abdrakhmanova G., Kovaleva G.",Approaches to defining and measuring Russia's internet economy,2017,"The rapid development of digital technologies is changing production processes and forms of interaction. It has encouraged growing interest in electronic content and created a new segment of the economy where all actors rely on the internet. These processes are most noticeable in developed countries. Russia is no exception. The development of the domestic segment of the internet economy - the economy of the Runet - is of particular importance due to the size of the country, the significant socioeconomic heterogeneity and the underdevelopment of the transportation networks in the Russian regions. A study of the phenomenon of the internet economy requires a reliable information base. It is hard to provide an adequate quantitative estimate of the size of the internet economy for the following reasons. First, the existing statistical indicator system was created before the internet and internet businesses were widespread. Secondly, this new segment of economy is much more heterogeneous than traditional sectors and industries and thus difficult to measure. This paper summarises the results of a review of international and Russian approaches on how to measure the internet economy. It also introduces a new way to measure the size of Russia's internet economy that is based on the principles of the System of National Accounts (SNA), using officially available statistical data, thus making this approach different from the previous recommendations. This new approach ensures a stable reproducibility of calculations, reliability and comparability of results as well as compliance with the standards of government statistics. The evaluation of the dynamics of economic processes that drive the internet economy was not in the scope of the study. This requires a separate study, including an analysis of how indices of constant quality that neutralize the effect of changes in consumer product properties and deflators are created The authors stipulate that these research areas hold independent interest.",Internet; Internet economy; Online and offline business; System of National Accounts (SNA)
"López Lubián F.J., Esteves J.",Value in a Digital World: How to assess business models and measure value in a digital world,2017,"An in-depth examination of the concept of value in a digital world, an analysis of a range of digital business models and a framework for assessing the value of digital businesses. Assessing the value of traditional business was easy. There are hard, well tested metrics and tangible, measurable assets you can literally kick the tyres of. But how do you measure the value of something that consists of little more than bits of information, brand awareness and a compelling idea?In the winner takes all digital world how do you know if this idea is one that will attract billions of dedicated users or a few thousand fleeting trialists?And, most importantly, how do you assess whether any given business model is robust enough to make billions or flawed in a way that will lose millions?Lopez Lubian and Esteves look at what economic value means in a digital world, and argue for a shift from traditional value metrics to digital value metrics. Through high profile case studies they examine the process of valuation in the digital world - examining the challenges of making objective judgments from subjective information and how to assess the value of data. Next they analyse in depth a number of different digital business models from the perspective of delivering value to investors, stakeholders and society at large. Finally they present a framework model for assessing value in digital business. © The Editor(s) and The Author(s) 2017.",Business model; Digital intangibles; Economic value; Sharing economy; Value metrics
"Ćurko K., Ćurić T., Vukšić V.B.",Perspective of smart enterprises development in the Republic of Croatia,2017,"This paper show the importance of digital transformation in Europe and the Repablic of Croatia. Technological-driven changes affect all industries and digital transformation is becoming a necessity for achieving global competitiveness. In the EU and Croatia, it is not sufficiently accepted that today’s market requires digital transformation in economy as whole and adaptation to the digital age. The aim of this paper is to systematically present and explain the concept of a smart enterprise, analyze the characteristics, significance and benefits of smart business, describe, analyze and show the results of the implementation of measures, strategies and programs adopted by the European Union and the Republic of Croatia to stimulate digital transformation and smart business development and digital economy. © 2017, World Scientific and Engineering Academy and Society. All rights reseved.",Digital transformation; Industry 4.0; Knowledge society; Smart company; Strategy
"Novototskih D., Romanov V.",Simulation of alliance networks composition in knowledge economy,2017,"Knowledge generation and diffusion in the modern digital economy as well as innovation process implying novelty technologies, products and services promotion on the market are considered. Production function included R&D or knowledge term regarded as moving force in the self-organizing process of network alliances composition. The model of the networks alliances composition based on the knowledge profile of the firms and measures their similarity or dissimilarity and quadratic programming with binary variables is proposed. Results of the modeling with genetic programming algorithm for partner selection are presented. In paper, we used quadratic methods of programming method as possible way for partner selection. Genetic algorithm and multi-valued logic (Lukasiewicz logic) were applied for these aims. The results of genetic algorithm are discussed in conclusion as possible way for including increment of production function due to new partner’s attraction. © Springer International Publishing AG 2017.",Algorithms; Alliance network; Partner selection; Production function increment; Simulation
[No author name available],Digital strategy,2017,"After completing this chapter you will: appreciate the influence of digital strategy on the economy appreciate the evolution of e-business strategy be aware that the game changing challenge of digital business requires evolution, together with the adaptation of prior insight and theory understand what firms need to do to cope with the dynamic, unstable and unpredictable digital environment be aware of the influence of social media, niche social networks and Internet of Things. © 2018 Paul Phillips and Luiz Moutinho.",
Borisova V.,Economic models for structuring cultural industries and measuring their contribution to the national economy,2017,"With the development of digital technologies, the importance of intellectual property becomes a leading for the development of the creative economy, the structuring of the creative industries, their classification and the measurement of their economic contribution. The lack of a unified international conceptual basis on these issues creates a number of challenges for the identification of the creative economy and the determination of its economic share in the economy as a whole. Existing economic models based on the understanding that creativity and knowledge are the required classification criteria do not meet the requirements of the business environment for clear structuring in the creative sector and determining its economic activity. The need to respond to the emerging need allows the development of a new economic model – the one of the intellectual property system. © Economic Research Institute at the Bulgarian Academy of Sciences, 2017.",
"Volkova V.N., Kozlov V.N., Karlik A.E., Iakovleva E.A.",The impact of NBIC-technology development on engineering and management personnel training,2017,"The paper deals with the integration of computing, intellectual resources and physical processes and their impact on the process of advanced training of personnel. The concept of NBCIC-technology (as convergence and co-evolution of information technologies, biotechnologies, nanotechnologies and cognition) and its application in professional training of engineering and management personnel for industry are disclosed. The authors substantiate the need for joint development of the integrated usage of information and communication technologies in the production system of the enterprise for a faster development of digital economy, and conclude that it is necessary to take this into account in training and retraining of managerial and economic personnel. © 2017 IEEE.",digital technology; industry; information technology; NBIC-convergence; personnel training
Park N.,Data Protection in the TPP: More Emphasis on the “Use” Than the “Protection”,2017,"It is very significant for the TPP, being a free trade agreement, to have explicit provisions on data protection, if it is ultimately effective. The TPP recognizes the importance of personal data in the digital economy. However, it is a pity that the TPP has provisions on data protection which do not aim at a higher standard among the Parties, as the use of personal data is significantly emphasized over the protection of personal data. It is further disappointing for the TPP to make substantial obligations less obligatory by using the words like ‘should’ and ‘shall endeavor to’. Although the TPP’s fate is still uncertain as a result of President Trump’s decision of withdrawal, its provisions on data protection seem to revive in any future trade agreement which aims to legalize a free trade in data including personal data. In conclusion, it may be understandable that the degree of data protection is not at the same level with the degree of force accorded to the use of personal data in the TPP, as it is not a data protection or privacy agreement per se. Nevertheless, in order to create and further develop the digital economy, data protection should be on the same level as the use or trade in data including personal data. © 2017, Springer Nature Singapore Pte Ltd.",APEC; Data protection; Digital trade; Personal data; TPP; Trade in data
